movie_name,message_id,date,channel_id,quality,size,language
Bhabhiji Ghar Par Hain Fun On The Run (2026) Bollywood Hindi DD5.1-224Kbps Movie HD 1080p ESub,319,2026-04-06,-1003181705395,4K,Unknown,Hindi
Bhabiji Ghar Par Hain: Fun on the Run (2026) Hindi 1080p HDRip x264 AAC ESubs,318,2026-04-06,-1003181705395,1080p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 1080p ZEE5 WEB-DL Hindi DDP5.1 H 264,317,2026-04-06,-1003181705395,1080p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 1080p HEVC Hindi WEB-DL 5.1 ESub x265,316,2026-04-06,-1003181705395,1080p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 720p Hindi WEB-DL 5.1 ESub x264,315,2026-04-06,-1003181705395,720p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 720p ZEE5 WEB-DL Hindi DDP5.1 H 264,314,2026-04-06,-1003181705395,720p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run (2026) Bollywood Hindi Movie HEVC 720p ESub,313,2026-04-06,-1003181705395,720p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 480p Hindi WEB-DL ESub x264,312,2026-04-06,-1003181705395,480p,Unknown,Hindi
Bhabhiji Ghar Par Hain Fun On The Run 2026 480p Zee5 WEB-DL Hindi x264,311,2026-04-06,-1003181705395,480p,Unknown,Hindi
Border 2 2026 1080p 10Bit HEVC Hindi DS4K WEB DL 5.1 ESub x265,309,2026-04-01,-1003181705395,1080p,Unknown,Hindi
Border 2 (2026) Bollywood Hindi(DD5.1-224Kbps) Movie HEVC 10,308,2026-04-01,-1003181705395,4K,Unknown,Hindi
Border 2 2026 1080p HEVC Hindi DS4K WEB-DL 5.1 ESub x265,307,2026-04-01,-1003181705395,1080p,Unknown,Hindi
Border 2 2026 1080p NF WEB-DL Hindi DDP5.1 H 265,306,2026-04-01,-1003181705395,1080p,Unknown,Hindi
Border 2 2026 1080p NF DL Hindi DDP5.1 H 265,305,2026-04-01,-1003181705395,1080p,Unknown,Hindi
Border 2 2026 1080p NF DL DDP5 1 AV1,304,2026-04-01,-1003181705395,1080p,Unknown,Unknown
Border 2 2026 720p 10bit DS4K NF WEBRip x265 HEVC Hindi DDP 5.1,303,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 720p Hindi DS4K WEB-DL 5.1 ESub x264,302,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 720p 10Bit HEVC Hindi DS4K WEB-DL 5.1 ESub x265,301,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 720p NF WEB-DL Hindi DDP5.1 H 264,300,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 720p HEVC Hindi DS4K WEB-DL ESub x265,299,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 (2026) Bollywood Hindi Movie HEVC 720p ESub,298,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 720p NF WEB-DL Hindi AAC5.1 AV1,297,2026-04-01,-1003181705395,720p,Unknown,Hindi
Border 2 2026 480p Hindi DS4K WEB-DL ESub x264,296,2026-04-01,-1003181705395,480p,Unknown,Hindi
Border 2 2026 480p NF WEB-DL Hindi AAC2.0 H 264,295,2026-04-01,-1003181705395,480p,Unknown,Hindi
Border 1997 1080p Hindi WEB-DL 2.0 ESub x264,294,2026-03-31,-1003181705395,1080p,Unknown,Hindi
Border (1997) Bollywood Hindi Movie HEVC 1080p ESub,293,2026-03-31,-1003181705395,1080p,Unknown,Hindi
Border 1997 Hindi Movie 1080p AMZN HDRip ESub,292,2026-03-31,-1003181705395,1080p,Unknown,Hindi
Border 1997 1080p HEVC Hindi WEB-DL 2.0 ESub x265,291,2026-03-31,-1003181705395,1080p,Unknown,Hindi
Border 1997 WebRip 720p Hindi AAC 2.0 x264 ESub,290,2026-03-31,-1003181705395,720p,Unknown,Hindi
Border 1997 720p Hindi WEB-DL 2.0 ESub x264,289,2026-03-31,-1003181705395,720p,Unknown,Hindi
Border (1997) Bollywood Hindi Movie HD 720p ESub,288,2026-03-31,-1003181705395,720p,Unknown,Hindi
Border 1997 720p HEVC Hindi WEB-DL ESub x265,287,2026-03-31,-1003181705395,720p,Unknown,Hindi
